0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:03:08 +0800] "GET /Project/images/icon2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:03:08 +0800] "GET /Project/images/circle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:03:08 +0800] "GET /Project/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:03:08 +0800] "GET /Project/images/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:03:08 +0800] "GET /Project/css/images/img04.gif HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:03:08 +0800] "GET /Project/css/images/img02.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:04:53 +0800] "GET /Project/index.jsp HTTP/1.1" 200 6419
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:04:53 +0800] "GET /Project/css/images/img04.gif HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:04:53 +0800] "GET /Project/css/images/img02.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:09:14 +0800] "GET /Project/index.jsp HTTP/1.1" 200 6419
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:09:14 +0800] "GET /Project/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:09:14 +0800] "GET /Project/images/icon2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:09:14 +0800] "GET /Project/images/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:09:14 +0800] "GET /Project/images/circle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:09:14 +0800] "GET /Project/css/images/img04.gif HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:09:14 +0800] "GET /Project/css/images/img02.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:11:17 +0800] "GET /Project/index.jsp HTTP/1.1" 200 6419
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:11:17 +0800] "GET /Project/css/images/img04.gif HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:11:17 +0800] "GET /Project/css/images/img02.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:11:30 +0800] "GET /Project/css/images/img03.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:12:51 +0800] "GET /Project/index.jsp HTTP/1.1" 200 6499
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:12:51 +0800] "GET /Project/css/images/img04.gif HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:12:51 +0800] "GET /Project/css/images/img02.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:12:52 +0800] "GET /Project/css/images/img03.jpg HTTP/1.1" 404 1044
